county,avg_house_price,male_2022,male_2023,male_2024,female_2022,female_2023,female_2024,total_2022,total_2023,total_2024,annual_change_2023,annual_change_2024,annual_income,population_2022,population_2016,change_pct,population_growth,affordability_ratio,cluster,affordability_tier
Carlow,245534.87783436457,701.65,719.95,750.07,529.73,557.37,590.29,625.0,646.79,677.77,3.5,4.8,35244.04,63339,58813,7.7,4526,6.966706366079614,1,High Affordability
Cavan,212269.22686561415,686.84,714.86,750.92,544.38,574.54,607.59,620.97,647.57,682.62,4.3,5.4,35496.24,80668,76176,5.9,4492,5.980048221040149,1,High Affordability
Clare,268347.5020734449,725.42,761.0,794.79,593.5,612.76,644.46,659.86,687.03,718.22,4.1,4.5,37347.44,130392,122658,6.3,7734,7.1851645540750555,0,Moderate Affordability
Cork,339725.4245708124,795.88,830.85,871.35,593.38,624.49,657.75,694.96,726.74,765.64,4.6,5.4,39813.28,564696,542868,4.0,21828,8.532967506591078,0,Moderate Affordability
Donegal,191492.63801672385,587.02,608.36,648.91,488.46,520.03,555.3,540.0,567.04,603.67,5.0,6.5,31390.839999999997,168997,159192,6.2,9805,6.100271226151446,1,High Affordability
Dublin,612168.0431850767,835.05,874.52,904.71,672.22,709.75,736.09,757.03,793.71,821.42,4.8,3.5,42713.84,1458154,1347359,8.2,110795,14.331842868378885,2,Low Affordability
Galway,324091.6399487607,719.58,746.4,783.21,610.35,633.52,670.2,666.29,690.97,728.49,3.7,5.4,37881.48,284322,258058,10.2,26264,8.555411244459314,0,Moderate Affordability
Kerry,265996.081618327,651.13,677.04,707.0,515.09,537.95,565.39,583.61,604.57,634.62,3.6,5.0,33000.24,158268,147707,7.1,10561,8.060428700467845,1,High Affordability
Kildare,395989.37545848126,832.29,865.83,900.35,627.24,660.92,692.28,733.52,766.19,797.73,4.5,4.1,41481.96,246977,222504,11.0,24473,9.546062323440871,0,Moderate Affordability
Kilkenny,308983.7826594346,713.88,749.81,777.49,587.7,618.98,648.95,655.13,687.47,716.28,4.9,4.2,37246.56,102895,99232,3.7,3663,8.295632741907832,0,Moderate Affordability
Laois,271980.4411934275,736.28,767.78,794.89,572.63,605.62,634.77,659.0,688.67,720.02,4.5,4.6,37441.04,91087,84697,7.5,6390,7.264233076683433,0,Moderate Affordability
Leitrim,176179.34023125,656.03,682.66,715.46,578.27,592.49,621.68,615.08,632.68,668.41,2.9,5.6,34757.32,35199,32044,9.8,3155,5.068841332739406,1,High Affordability
Limerick,290370.294759753,739.05,771.9,811.03,599.43,625.35,661.57,672.34,700.0,740.95,4.1,5.9,38529.4,208081,194899,6.8,13182,7.536330562109791,0,Moderate Affordability
Longford,179366.7551674327,653.96,688.15,716.23,541.75,571.94,608.27,602.02,634.62,663.86,5.4,4.6,34520.72,46634,40873,14.1,5761,5.195915820047574,1,High Affordability
Louth,285886.9198257646,703.5,732.01,766.03,558.85,583.44,615.24,636.07,664.49,696.63,4.5,4.8,36224.76,145655,128884,13.0,16771,7.892030749845261,0,Moderate Affordability
Mayo,207088.7796912061,668.45,695.19,727.9,546.15,568.71,603.52,608.35,632.98,668.01,4.0,5.5,34736.52,137786,130507,5.6,7279,5.961701969316619,1,High Affordability
Meath,361426.68408442114,810.21,844.96,864.62,606.0,638.19,663.44,710.75,743.15,765.61,4.6,3.0,39811.72,220928,195044,13.3,25884,9.078399126800377,0,Moderate Affordability
Monaghan,225912.16841935486,631.24,655.73,699.17,524.04,548.84,585.01,582.72,608.21,646.5,4.4,6.3,33618.0,64591,61386,5.2,3205,6.719976453666336,1,High Affordability
Offaly,238482.45549290514,702.39,735.4,767.33,550.44,580.68,611.58,635.83,663.7,694.55,4.4,4.6,36116.6,82275,77961,5.5,4314,6.603125861595641,1,High Affordability
Roscommon,188412.92359772295,680.72,712.64,750.81,576.92,599.63,637.31,630.7,658.04,697.12,4.3,5.9,36250.24,70000,64544,8.5,5456,5.197563480896208,1,High Affordability
Sligo,218383.47917850286,666.56,693.87,735.82,596.83,617.03,656.05,634.09,657.63,698.12,3.7,6.2,36302.24,67447,65535,2.9,1912,6.015702589661213,1,High Affordability
Tipperary,218973.71819425173,688.14,721.09,757.66,551.81,579.9,617.56,624.2,654.71,692.47,4.9,5.8,36008.44,170806,167895,1.7,2911,6.081177584873205,1,High Affordability
Waterford,269027.3135610652,714.49,746.72,781.01,541.63,576.92,609.85,632.42,661.96,697.34,4.7,5.3,36261.68,116176,113795,2.1,2381,7.41905266278521,1,High Affordability
Westmeath,266951.2016931507,726.71,760.0,793.01,576.14,602.39,636.92,654.69,682.46,720.84,4.2,5.6,37483.68,95419,90223,5.8,5196,7.121798118358461,0,Moderate Affordability
Wexford,276579.1264969271,660.26,692.31,720.41,519.21,550.38,578.55,592.89,624.18,653.41,5.3,4.7,33977.32,157216,149722,5.0,7494,8.140110123368386,1,High Affordability
Wicklow,541550.0719058296,794.72,831.99,854.5,602.7,631.14,659.38,696.59,730.77,755.06,4.9,3.3,39263.119999999995,148976,142425,4.6,6551,13.792843561740117,2,Low Affordability
